edad;sexo;actividad;descripcion_de_actividad;barrio;comuna;fecha;monto
48;hombre;comercio;comercio;llanadita;8;19/10/2016;2000000
40;hombre;comercio;venta de comidas preparadas;popular 1;1;16/8/2018;2000000
75;hombre;comercio;ventas diversas;belen los alpes;16;9/8/2018;783000
75;hombre;comercio;venta de comidas preparadas;san benito;10;11/12/2018;800000
73;hombre;produccion;agricultura - ganaderia;primavera;60;24/10/2018;1000000
69;hombre;comercio;comercio;santa elena;90;19/4/2016;3000000
73;hombre;comercio;mantenimiento;san german;7;27/11/2018;1000000
70;hombre;servicios;construcion;san javier;13;20/6/2017;7370000
38;hombre;servicios;construcion;rodeo alto;15;24/7/2017;6000000
70;hombre;comercio;ventas diversas;pedregal;6;17/5/2017;1500000
71;hombre;produccion;ventas diversas;pedregal;6;12/12/2018;1500000
57;#N/A;comercio;negocio de venta de cosmeticos;belen;16;6/9/2017;2000000
71;hombre;servicios;mantenimiento;lopez de mesa;7;18/7/2018;5000000
70;hombre;comercio;tiendas - venta de alimentos;las brisas;5;21/2/2018;3000000
71;hombre;comercio;ventas diversas;buenos aires;9;4/8/2017;5000000
70;mujer;servicios;mantenimiento;san diego;10;26/1/2018;4000000
71;hombre;comercio;tiendas - venta de alimentos;enciso;8;12/7/2018;1000000
69;hombre;servicios;servicios;nutibara;16;10/11/2016;1000000
69;hombre;servicios;servicios;doce octubre;6;22/3/2016;2500000
70;hombre;comercio;ventas diversas;doce octubre;6;24/8/2017;1500000
72;hombre;servicios;fabrica de exhibidores de almacen y cerrajeria;doce octubre;;27/3/2019;1500000
72;hombre;comercio;ventas diversas;castilla;5;11/5/2018;7000000
68;hombre;comercio;comercio;belen la gloria;7;15/7/2016;5000000
67;hombre;comercio;comercio;centro;10;15/12/2016;2000000
68;hombre;comercio;comercio;candelaria;10;26/10/2016;3000000
68;hombre;produccion;confecciones;campo valdes;3;13/2/2017;2000000
69;hombre;produccion;confecciones;campo valdes;3;16/5/2018;3500000
70;hombre;comercio;tiendas - venta de alimentos;compromiso parte alta;1;27/9/2018;2000000
70;hombre;comercio;venta de comidas preparadas;manrique palos verdes;3;12/9/2018;1500000
66;hombre;produccion;produccion;counces de oriente;9;18/6/2016;6890000
67;hombre;servicios;mantenimiento;buenos aires;9;17/5/2017;4000000
67;hombre;comercio;venta de comidas preparadas;manrique oriental;3;15/1/2018;1500000
65;hombre;servicios;servicios;manrique;4;22/3/2016;5000000
67;hombre;comercio;tiendas - venta de alimentos;campo valdes;4;22/2/2018;5000000
65;hombre;comercio;comercio;centro;4;11/5/2016;6890000
48;hombre;comercio;venta de comidas preparadas;santa lucia;10;21/9/2017;7377000
65;hombre;comercio;ventas diversas;calazans;12;8/11/2018;1500000
66;hombre;comercio;ventas diversas;caicedo la libertad;9;26/11/2018;3000000
61;hombre;comercio;comercio;manrique oriental;3;22/1/2016;4000000
58;hombre;comercio;comercio;veinte de julio;13;16/8/2016;6000000
52;hombre;comercio;ventas diversas;popular#2;1;19/5/2017;7377170
51;hombre;comercio;comercio;manrique;3;11/5/2016;2500000
53;hombre;comercio;ventas diversas;manrique oriental;3;28/11/2018;2500000
52;hombre;servicios;mantenimiento;primaveral;7;16/12/2017;3500000
48;hombre;comercio;ventas diversas;carpinelo;1;26/11/2018;4000000
46;hombre;comercio;tiendas - venta de alimentos;centro;10;21/5/2018;3450000
67;hombre;servicios;servicios;monterrey;14;22/9/2016;1000000
